# time,title
# 地质年代、生命演化和人类出现的长尺度背景层。
-4600000000~-4000000000,冥古宙
-4000000000~-2500000000,太古宙
-2500000000~-541000000,元古宙
-541000000~-485000000,寒武纪
-485000000~-444000000,奥陶纪
-444000000~-419000000,志留纪
-419000000~-359000000,泥盆纪
-359000000~-299000000,石炭纪
-299000000~-252000000,二叠纪
-252000000~-201000000,三叠纪
-201000000~-145000000,侏罗纪
-145000000~-66000000,白垩纪
-66000000~-2300000,古近纪与新近纪
-2300000~,第四纪
-3500000000~-3000000000,可能最早原核生物活动
-2400000000~-2100000000,大氧化事件
-600000000~-540000000,埃迪卡拉生物群
-300000~-200000,早期智人出现
-12000~-9000,农业革命（新石器化）
